#BASES
Dreamland Valley
Earthsong Enclave
Emerald Eden
Emerald Heights
Enchanted Everglade
Eternal Earth
Ethereal Expanse
Fruitful Fields
Hallowed Hill
Harmony Hill
Haven Heights
Heartland Haven
Humming Hollow
Leafy Retreat
Luminous Lagoon
Meadow of Memories
Nature's Nook
Planet's Embrace
Pulsing Prairie
Pureland Preserve
Radiant Enclave
Riverbank Retreat
Rootbound Refuge
Rustling Ravine
Silvermoon Meadow
Skywatch Sanctuary
Starlight Meadow
Tranquil Terrace
Verdant Vista
Wildwood Way
#END

#WATERBASES
Aquatic Delight
Azure Waters
Botanical Bay
Cascading Falls
Golden Grove
Kelp Kingdom
Lotus Bay
Mossy Meadow
Mystic Tides
Neptune's Nook
Ocean's Harvest
Reef's Refuge
Riverbend Retreat
Sea Foam Fields
Sea's Bounty
Seashell Shores
Seaside Garden
Serenity at Sea
Shimmering Seabed
Waterfall Way
#END
